Name	Banner Link	icon link	link	Is On SteamRevolver?	Is it Buzzheather or google drive or both	Is It Working?	Straight download link	new?
Super Smash Flash 2	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/a0608743660c09feb35a28905143a085.jpg	https://file.garden/Zya8-gItADlYXzdp/supersmahflash.ico	https://drive.google.com/file/d/1AL5W5FiPjdmKtnofsmCz24cOZqg8cBCr/view?usp=sharing	Yes	google drive	Testing		Yes
Castle Crashers	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/2571-castle-crashers.png	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/dd377ae1aa24bca1e9e94bb355d9b8c7.ico	https://drive.google.com/file/d/1UcRHOcP0fwPwtk-Km3hxfrHBnfDoZ6qZ/view?usp=sharing	Yes	google drive	Testing		Yes
Cyberpunk 2077	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/ccd4360578371706a922223949ed452b.png	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/9ba82616fac74de9ce334ea7532cfddc.ico	https://drive.google.com/file/d/1ipEhMxk9CxssK0fkNCeV85fofeh63Z66/view?usp=sharing	Yes	google drive	Dont Work		Yes
The Binding Of Isac	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/ad093f971fbb27b426aa2aa17b89e100.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/e1940719f77abe2ef9a5249421ac8492.png	https://drive.google.com/file/d/15hsQsiwMAbWmoml5-hFcnSUMEsdS424k/view?usp=sharing	Yes	google drive	Testing		Yes
Farcry Primal	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/05cd9795646d1077a743ada13fbc2c62.jpg	https://file.garden/Zya8-gItADlYXzdp/dc2885225cbcb517bfea1ae528f56428.ico	https://drive.google.com/file/d/1K82cQj9KCyOfmtKMwudeJHlzEYEOcgGh/view?usp=drive_link	Yes	google drive	Testing		Yes
Skyrim	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/268b33ccfdd00ea4adda84063d34ffb0.jpg	https://file.garden/Zya8-gItADlYXzdp/34fbaaac4624ff7a36ad5056f7ee0c99.png	https://drive.google.com/file/d/1Dl6QX-pqaJ9W9D8yvlQKqjmB-3RFtMpj/view?usp=drive_link	Yes	google drive	Testing		Yes
DefJam Fightfor NY	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/8564a76485fc52dae3a88b7126baf106.jpg	https://file.garden/Zya8-gItADlYXzdp/a162842aaee8665216acb7555a9b6b61.png	https://drive.google.com/file/d/1wXTsD1l732WtNtLnTnDnAK8m8TtkuyhH/view?usp=drive_link	Yes	google drive	Testing		Yes
Cult Of The Lamb	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/header.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/lamy.png	https://drive.google.com/file/d/1c-9M5RLlHaSoF-ZyHiDoFsn9gtMAQHHk/view?usp=sharing	Yes	google drive	Testing		Yes
Roadside Research	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/roadsides.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/73c02e18eab8bcfe3efbe4b24015fff6a1595d81.jpg	https://drive.google.com/file/d/1Ojtl76H64TFptRn1qIT4c1Tfgc6s_Glh/view?usp=sharing	Yes	google drive	Testing		Yes
Stardew Vally	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/valy.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/40597da3-18fd-4b4c-8cb3-65f042587701.png	https://drive.google.com/file/d/1xrtTIxJyBWAsaZKix58AB2QAKgI_toR7/view	Yes	google drive	Testing		Yes
